Name,Country,Type,Style,Grape,Fullness,Long Description,Price,Awards,ABV,Volume,ID,Year
Edna Valley Pinot Noir 2017,USA,Red,Fruity ,Pinot Noir,MEDIUM,"Edna Valley is one of the few valleys in California to enjoy an east-west orientation. This allows Pacific mists to drift inland and cover the whole length of the valley, cooling the vineyards, thereby creating a longer ripening season ideal for temperamental Pinot Noir. Aromatically complex, offering subtle notes of rose petal, cola and earth against a backdrop of bright cherry fruit. Fine yet ample tannins provide a mouth-filling texture and plenty of length. Try with Peking duck.",15.99,,14.0,75.0,148,2017
Esprit de Begude Pinot Noir 2018 Haute Vallée de L'Aude,France,Red,Fruity ,Pinot Noir,MEDIUM,"From a specially selected vineyard site on Domaine Begude's organically farmed estate near Limoux, in the foothills of the Pyrenées, this is a refined and classically styled Pinot. Low-volume production has ensured boutique-like levels of quality and refinement. An elegantly structured Pinot Noir with ripe redcurrant, raspberry and blackcurrant fruit framed by ripe tannins. Subtly gamy savoury notes and hints of wild herbs and earth. A great match for most meats, particularly roast duck or game birds.",17.99,,13.0,75.0,149,2018
Luis Felipe Edwards Gran Reserva Chardonnay 2018 Casablanca Valley,Chile,White,Rich ,Chardonnay,DRY,The Luis Felipe Edwards winery is no stranger to the praise of both Robert Parker and Tim Atkin MW. But it still makes fantastic produce at a pocket-friendly price. Punchy notes of stone fruit and ripe apple are licked by a rich slather of vanilla. This would cost gallons more in the Old World.,9.99,"Decanter 2019 - Bronze Award, IWC 2018 - Bronze Award",13.5,75.0,152,2018
"Kaiken Seleccion Especial Malbec 2018, Mendoza",,Red,Big ,Malbec,FULL,"Aurelio Montes is Chile's most decorated winemaker. His Purple Angel wine is counterfeited the world over. It sells for $150+ in the US. Turning his sights to Argentina, he's crafted the Kaiken series. A heady bouquet of strawberry and blackcurrant meets a decadent slather of vanilla, showing that Montes knows just as much about Argentinian terroir.",9.99,,14.0,75.0,153,2018
Emma Marris Sauvignon Blanc,New Zealand,White,Fruity ,Sauvignon Blanc,DRY,"Aromatically intense with a rich mouthfeel and burtsing with gooseberry, citrus and herbal flavours this is Emma Marris' personal take on a New Zealand classic.",11.99,,13.0,75.0,154,Unknown
Chablis 1er Cru Fourchaume Domaine Chatelain,France,White,Crisp ,Chardonnay,DRY,"The wines of the Premier Cru Fourchaume vineyard are noted for their rounded citrus flavours and fresh streak or minerality. At their best, such as this example, these wine approach Grand Cru quality.",27.99,,13.5,75.0,155,Unknown
Pinot Grigio Villa Vito 2018,Italy,White,Crisp ,Pinot Grigio,DRY,"Clean, fresh and thirst-quenching, this sublime Pinot Grigio is everything you'd expect from Italy's most famous grape. With brisk citrus and green apple flavours chased by hints of white flowers and a luxurious finish, it's an ideal midweek tipple.",7.99,,12.0,75.0,156,2018
"Hey Malbec! 2018 Matias Riccitelli, Mendoza",Argentina,Red,Big ,Malbec,FULL,"Hey Malbec! was the Malbec of 2018. It's crafted opposite Cheval des Andes, the producer of Argentina's most expensive Malbec (selling for eight times this price). Pumping with black fruits, violets, a dusting of black pepper and soft tannins, it's an exquisite expression of what Mendoza can produce.",12.99,,14.0,75.0,157,2018
SGJ Pinot Noir,Germany,Red,Big ,Pinot Noir,LIGHT,"Punchy notes of cherries, blackcurrants, vanilla and chocolate weave through subtle tannins, leading to a velvet-laden finish. It's the poultry partner to make your autumn.",12.99,,13.5,75.0,158,Unknown
Winemaker Series Shiraz 2016,Australia,Red,Big ,Shiraz,FULL,"For our Shiraz we turned to one of our favourite Australian winemakers, Kevin O'Brien from Kangarilla Road, who has worked with us for 20 years. This is a rich, deep and complex expression of Shiraz with loads of dark fruit flavours.",11.99,,14.5,75.0,159,2016
Edna Valley Chardonnay 2017,USA,White,Rich ,Chardonnay,DRY,The Edna Valley is one of the few Californian valleys to catch cool Pacific mists. The result: a seemingly endless grape-ripening period that means its Chardonnay rivals Burgundy for complexity. Textured tropical fruit and toasted oak are rounded with a slather of cream.,15.99,,14.0,75.0,160,2017
Parcel Series Chilean Sauvignon Blanc,Chile,White,Fruity ,Sauvignon Blanc,DRY,"Quintessential aromatics are the first thing you'll notice with this Sauvignon Blanc. Grapefruit, lime and fennel are immediately apparent. On the pallet, you'll find a refreshing crest of acidity supported by lip-smacking green citrus.",11.99,,13.0,75.0,162,Unknown
"Bourgogne Blanc 2017, Collovray et Terrier, Burgundy",France,White,Rich ,Chardonnay,DRY,"The often dizzying prices of white Burgundy will come as no surprise to those already converted to the style. Burgundy's climate, soil and commitment to tradition marry for a sublime set of conditions for the humble Chardonnay grape. This release from Collovray et Terrier is crafted of grapes throughout the region, meaning that you can snap up fantastic quality at a snip of the price! This Bourgogne Blanc is rich with a remarkably refined structure. It is well-rounded on the palate, brimming with lush fruit flavours of citrus and peach. Clarifying hints of minerality and gentle strokes of white flowers emerge and lead you comfortingly to a long and intense finish. For dining perfection, you needn't look further than this beautiful bottle.",14.99,,13.0,75.0,167,2017
Château Tronquoy-Lalande St Estephe 2013,France,Red,Big ,"Cabernet Sauvignon, Merlot, Petit Verdot, Cabernet Franc",MEDIUM,Charming and seductive the 2013 has an abundance of pure strawberry and blackberry flavours. Soft and harmonious with fully integrated tannins this is drinking wonderfully now.,29.99,,13.0,75.0,168,2013
Faustino Rivero Ulecia Vendimia Seleccionada Rioja,,Red,Smooth ,Rioja,MEDIUM,"Delve into a blissful meeting of lush strawberry fruit flavour, soothing vanilla notes and hints of uplifting spice. The perfect red to unwind with.",10.99,,13.0,75.0,170,Unknown
Alheit Limited Release Chenin Blanc,South Africa,White,Fruity ,"Chenin Blanc, Chenin Blanc",DRY,"Consistently ranked as one of the 5 best wineries in South Africa, Alheit create wines of pure flavours and concentration as amply demonstrated by this fine crisp and fruity Chenin.",19.99,,13.0,75.0,171,Unknown
Luis Felipe Edwards Gran Reserva Merlot 2018 Colchagua Valley,Chile,Red,Big ,Merlot,FULL,"The Luis Felipe Edwards winery is no stranger to the praise of both Robert Parker and Tim Atkin MW. But it still makes fantastic produce at a pocket-friendly price. Soft tannins allow gallons of cherry, blackberry and strawberry flavours to reign supreme.",9.99,Decanter 2019 - Commended Award,14.5,75.0,173,2018
Majestic Loves Chardonnay 2018,South Africa,White,Rich ,Chardonnay,DRY,"A real gem, our Majestic Loves Chardonnay is produced by decades-old vines in the Robertson area of South Africa. Expect plenty of fresh citrus, lime and tropical flavours. A superb choice with poultry.",6.99,IWC 2018 - Bronze Award,13.5,75.0,176,2018
Chalk Bay Sauvignon Blanc,New Zealand,White,Fruity ,Sauvignon Blanc,DRY,An elegant Sauvignon Blanc with aromas of gooseberies and tropical fruit leading to a crisp and refreshing finish. Enjoy on its own or with grilled fish or fresh salads.,7.99,,12.0,75.0,177,Unknown
Petit Perdigal Rouge 2018,France,Red,Fruity ,"Syrah, Grenache, Cinsault",MEDIUM,"Leon Perdigal, perhaps better known for crafting Châteauneuf-du-Pape, added grapes from outside the Côtes du Rhône appellation to this blend. This means it's declassified. But don't be fooled - packed with red fruits, spice spice and that all-important dusting of pepper, this is everything you'd want from a Côtes du Rhône red.",7.99,IWC 2019 - Silver Award,14.5,75.0,178,2018
Capaia One 2015,South Africa,Red,Big ,"Cabernet Sauvignon, Merlot, Cabernet Franc",FULL,"This estate was founded by Count Stephan von Neipperg who also owns the famous St Emilion properties Canon La Gaffeliere and La Mondotte. He has used his vast experience in Bordeaux to create stunning wines in South Africa. This wine has been aged to perfection and is packed with rich blackcurrant fruit flavours and enhanced by developed notes of cedar, leather and spice. This is a great food wine and will match all red meat dishes.",14.99,,14.5,75.0,181,2015
Muscadet de Sèvre et Maine Sur Lie 2018 Domaine de la Tourmaline,France,White,Crisp ,Melon de Bourgogne,DRY,"The term 'sur lie' sorts the wheat from the chaff in the world of Muscadet. An extended period of lees contact after fermentation leads to a greater complexity of flavour and character. With ripe fruit aromas, a pleasant richness and fine minerality, this is a classic Loire white. Bottled with a slight natural spritz to help retain freshness. Chill well and drink immediately with scallops. Also makes an excellent partner for oriental cuisine.",9.99,,12.0,75.0,183,2018
Klein Constantia Sauvignon Blanc 2018 Constantia,South Africa,White,Fruity ,Sauvignon Blanc,DRY,"The Constantia Valley, home to Klein Constantia Estate, is the oldest vineyard region in the Cape, having produced wine since 1689. Klein Constantia is family-owned with a focus on quality rather than quantity. A light green appearance with ripe tropical aromas of pineapple and passionfruit. The palate is classically Sauvignon with its racy acidity and the finish is clean and refreshing. Given an extra richness and dimension by the addition of 4% Semillon, it makes an excellent partner to fresh seafood.",14.99,,13.5,75.0,184,2018
Rioja Reserva 2013 Viña Pomal,Spain,Red,Smooth ,Rioja,MEDIUM,"The grapes for this wine come from Viña Pomal's own vineyards which surround the winery. The first Viña Pomal release was over 100 years ago in 1904, and they have since been producing high quality, classic 100% Tempranillo Riojas. Bursting with blackberry and raspberry fruit, the palate is clean, intense and persistent. Perfectly balanced with soft velvety tannins it is delicious from start to the long finish. This traditional style of Rioja will be a superb complement to Catalan-style charcuterie or cured meats.",13.99,,14.0,75.0,185,2013
Black Cottage Sauvignon Blanc 2018 Marlborough,New Zealand,White,Fruity ,Sauvignon Blanc,DRY,"Winemaker David Clouston spent a number of years working at wineries in the USA, France, Spain and Chile before returning to his native Marlborough, and now lives in a black-painted wooden cottage in the Wairau Valley after which the winery is named. Bright, pale yellow, with lime green tinges. Offers aromas of gooseberries with a hint of lychee and a leafy complexity. Tropical and herbaceous characters continue on the crisply acidic palate. Drink with mildly pungent cheeses such as feta or chêvre, or with a crayfish salad.",10.99,,13.0,75.0,186,2018
Château de Pennautier 2015 Cabardès,France,Red,Fruity ,"Cabernet Sauvignon, Merlot, Grenache, Malbec",FULL,"Made by winemaker Bertrand Seube, formerly of Château Mouton-Rothschild, using a blend of Bordeaux and Southern French varieties. Cabardès in Southern France is the only formal appellation which permits blending of this broad range of classic varieties in the same wine. Rustic aromas of raspberries, mullberries and cooking spices permeate from an intensely ruby coloured wine. A firm, tannic palate of spice and dark fruits leads to a layered, dry finish. Ideal with casseroles and red meat dishes, vegetable soups and cassoulet, or tagine. Drink over the next two years.",12.99,,13.5,75.0,187,2015
Winemaker Series Swartland Red 2017,South Africa,Red,Big ,"Viognier, Cabernet Sauvignon, Grenache, Shiraz, Cinsault",FULL,"Made exclusively for Majestic by Marc Kent, the man behind customer favourite The Chocolate Block. He sourced the grapes from the same vineyards to bring you something extra special",12.99,,14.5,75.0,189,2017
Morgon 2018 Château de Pizay,France,Red,Fruity ,Gamay,MEDIUM,"Since the Middle Ages the fine wines of the Château de Pizay have been appreciated by Beaujolais-lovers. The Château includes a four-star hotel with 64 rooms and a gourmet restaurant. This is an ideal place to discover the charming pleasure of the Beaujolais. This top class wine has a nose dominated by blackberries and cherries and a silky smooth palate with fine tannins combining. Classic Morgon, showing the fruit of Beaujolais and the charm of Burgundy. This wine is ready to drink now but Morgon is one of the longest-lasting crus and will therefore develop for a futher year or two.",12.99,,14.0,75.0,191,2018
Russian Jack Pinot Noir 2017 Martinborough Vineyards,New Zealand,Red,Fruity ,Pinot Noir,MEDIUM,"Russian Jack was a merchant sailor from Latvia, who found himself in New Zealand and became a legendary travelling fruit picker, living a nomadic life for over 50 years in the Wellington area. A statue dedicated to his memory now stands in the town of Masterton. A finely balanced Pinot offering ripe red berry fruit underpinned by a fresh crunchiness and savoury notes. Tannins are ripe and supple, polished and spice-infused by 9 months in oak. The perfect wine to pair with smoked duck.",14.99,,14.0,75.0,193,2017
Saint Clair Pioneer Block Pinot Noir 2017 Marlborough,New Zealand,Red,Fruity ,Pinot Noir,MEDIUM,"Saint Clair Pioneer Block wines are made from small parcels of outstanding fruit identified by our winemaker. Fruit for this wine was sourced from Saint Clair's own vineyard at Doctor's Creek, and blended with a small amount from the Southern Valleys to add complexity. Bright ruby in colour, aromas of raspberry and plum are complemented by a touch of spice. A luscious and soft palate with flavours of redcurrant, cherries and an added warmth from ageing in oak barrels. This is perfectly matched with tuna or beef fillet with mushrooms and will cellar for the next two to five years.",22.99,,13.5,75.0,195,2017
Baron Edmond de Rothschild Montagne St Emilion,France,Red,Smooth ,Cabernet Sauvignon,FULL,"Montagne-St. Émilion Backcurrant, tobacco, spice A delicious wine by itself or enjoy with a nice bit of roast beef",24.99,,13.0,75.0,196,Unknown
Santa Rita Medalla Real Cabernet Sauvignon 2016 Maipo Valley,Chile,Red,Big ,Cabernet Sauvignon,FULL,"Santa Rita was founded in 1880, by Mr. Domingo Fernández Concha. Each lot is individually vinified at its peak of ripeness and aged in French oak barrels. Deep, ripe ruby red in colour with a nose of blackcurrant, menthol and toasty vanilla notes. Rich, ripe almost sweet tannins and a long length. Enjoy with spicy red meats, venison and goose.",11.99,IWC 2018 - Bronze Award,14.0,75.0,197,2016
"Gnarly Dudes Shiraz 2016 Two Hands, Barossa Valley",Australia,Red,Big ,Shiraz,FULL,"Two Hands are dedicated to showcasing the wide range of styles available from Barossa's many and varied plots. This example is sourced from a number of parcels of mature, gnarly Shiraz vines, and aged in a mixture of new and old French oak hogsheads for 12 months. Intense and complex on the nose, which offers an array of fruit accented by notes of chestnuts, burnt toffee, chocolate and lavender. Full and lush on the palate, with a supple texture and good length. Enjoyable immediately, but will develop nicely for up to 5 years in bottle.",21.99,,14.1,75.0,198,2016
Acacia Road Merlot 2018,South Africa,Red,Fruity ,Merlot,MEDIUM,It's the weeknight sipper to bring a splash of sun to your sofa. Gentle oak influence gifts a silkiness to a bouquet of dark plum and blackcurrants. This really is a steal at a pocket-friendly price.,7.99,,12.5,75.0,199,2018
Greywacke Sauvignon 2018 Marlborough,New Zealand,White,Fruity ,Sauvignon Blanc,DRY,"Greywacke (pronounced 'grey-wacky') is the name given to the grey sedimentary rock that characterises much of the soil in this estate's vineyard. The winery was founded in 2009, and is the brainchild of Kevin Judd, former winemaker of Cloudy Bay for 25 years. Intense aromatics of melon, peach and papaya are accompanied by hints of tomato leaf and capsicum. The palate is crisp but remarkably mouth-filling, a small portion of the wine having been oak fermented. Partner with a selection of canapes made with smoked salmon, anchovies or chêvre.",19.99,,13.0,75.0,200,2018
Bourgogne Pinot Noir 2016 Louis Latour,France,Red,Fruity ,Pinot Noir,MEDIUM,"Domaine Louis Latour have their own cooperage, which has been going since the early C20th, when they decided to purchase a forest east of Beaune. This tradition is maintained today with production of around 2000 barrels a year. Half of these are exported around the world. Although Pinot Noir is one of the most difficult grapes to grow, this is a fine example at this price with plenty of soft ripe blackberry and raspberry fruit. A versatile and easy-drinking wine that goes well with grilled meats, terrines and pâtes or with a cheese platter.",16.99,,13.0,75.0,202,2016
Gran Camino Sauvignon Blanc 2016,Spain,White,Fruity ,Sauvignon Blanc,DRY,"""Beautifully balanced with crisp flavours of gooseberry from the Sauvignon grapes there is added richness and citrus flavours from a small amount of Chardonnay included in the blend."" Gooseberry takes the forefront with little flicks of citrus and green apple, softens by a rounded soft finish. Enjoy this wine alongside a lightly spiced fish dish or vegetable soup.",5.99,,12.0,75.0,203,2016
Avior Malbec 2018,Argentina,Red,Big ,Malbec,MEDIUM,"This is a decadent and rich wine with flavours of Blackberry and cherry. Rounded and soft there is a delightful, lighter floral note on the finish.Best enjoyed with a rich beef casserole or alongside a cheeseboard when it's chilly outside.",7.99,,13.5,75.0,205,2018
Nettie Viognier 2017,USA,White,Fruity ,Viognier,DRY,"The Nettie is proof that California is the place to head for Rhône-style Viognier at a fraction of the usual asking price. Vivid notes of peach, apricot and pear meet a stony minerality.",8.99,Decanter 2019 - Bronze Award,13.0,75.0,207,2017
"Los Vascos Cabernet Sauvignon 2017 Domaines Baron de Rothschild, Colchagua",Chile,Red,Big ,Cabernet Sauvignon,FULL,"Domaines Barons de Rothschild took over the Los Vascos ('The Basques') estate in 1988, and since then have grown it from its original 220ha of vines to 580ha. Many of the original vines are 40-50 years old, with the oldest being up to 70 years old. Classic and pure Cabernet, with well-defined notes of cherry, blueberry and plum on the nose, with hints of bay leaf and clove adding subtle depth. Approachably soft yet weighty on the palate. Partner with roast beef or fillet steak.",12.99,IWC 2017 - Commended Award,14.0,75.0,208,2017
Alegro Rioja Crianza 2016,,Red,Fruity ,Rioja,LIGHT,"Aged in oak for 12 months. You'll get vanilla and cocoa. Light acidity and medium tannins - this one's quiet, but nice. Overall, it's a typical crianza - nothing amazing, but nice to drink nonetheless",11.99,,13.0,75.0,209,2016
Alluria Organic Pinot Grigio,Italy,White,Crisp ,Pinot Grigio,DRY,Organically produced this elegant and fresh Pinot Grigio abounds with flavours of citrus and peach followed by floral and herbal notes.,9.99,,11.5,75.0,210,Unknown
Cono Sur Bicicleta Pinot Noir 2018,Chile,Red,Big ,Pinot Noir,LIGHT,"Made by a back-to-back 'Chilean Winery of the Year' it's hardly surprising that the Bicicleta is the UKs most popular Pinot Noir. Named after the mode of transport preferred by its vineyard worker - it's a fresh, elegant Pinot Noir with bright cherry, blackberry and plum notes.",8.49,,13.5,75.0,211,2018
Black Ridge Pinot Noir 2016,USA,Red,Fruity ,Pinot Noir,LIGHT,"California is battling Burgundy for the Pinot Noir crown. Look no further for proof. A smooth, silky red pulsing with vibrant cherry, raspberry and vanilla notes, this would demand a remortgage if it was French.",15.99,,13.5,75.0,212,2016
Majestic Loves Gruner Veltliner 2018,Hungary,White,Crisp ,Gruner Veltliner,DRY,"Austrian Grüner grabs the headlines. But you'll find delicious rivals just over the border. And you can shave a few quid off the usual asking price by heading to Hungary. It's dry, sprightly and lined by spiced apple and white pepper.",6.99,IWC 2018 - Silver Award,12.5,75.0,213,2018
Men in White Coats Viognier 2019,South Africa,White,Fruity ,Viognier,DRY,"Apricot and peach flavours dominate this rich and full flavoured white that, despite the richness, retains a fine fresh acidity that matches with spicy notes on the finish.",9.99,,13.5,75.0,214,2019
Definition Viognier 2018,France,White,Fruity ,Viognier,DRY,"The Definition range captures the quintessential qualities of the world's greatest wine styles. This is crafted by Abbotts & Delaunay, the winery behind our most successful Viognier WIGIG (when it's gone, it's gone!) and the top Viognier of 2018. You can thank an expert use of oak for its marriage of white fruits, almond and generous character. You'd be forgiven for thinking it costs twice its price.",10.99,IWC 2018 - Bronze Award,13.0,75.0,215,2018
Definition Chenin Blanc 2018,South Africa,White,Fruity ,"Chenin Blanc, Chenin Blanc",DRY,"The Definition range captures the quintessential qualities of the world's greatest wine styles. Chenin Blanc is to South Africa what Chardonnay is to Burgundy. So we sourced this from an award-winning producer whose Chenins win awards vintage after vintage. It's aromatic, lean and pumping with peach, tropical fruits and cream.",12.99,"Decanter 2019 - Bronze Award, IWC 2018 - Silver Award",14.0,75.0,216,2018
Goldwater Sauvignon Blanc 2018 Marlborough,New Zealand,White,Fruity ,Sauvignon Blanc,DRY,"From the Wairau Valley in Marlborough, where Goldwater Estates practices sustainable viticulture and strict selection, comes this brilliant Sauvignon Blanc. Some lees ageing imparts it with complexity and texture. Offers masses of elderberry fruit and raspberry leaf aromas and exhibits an excellent minerally finish along the lines of Sancerre. Perfect with seafood or salads.",11.99,"IWC 2017 - Silver Award, Decanter 2017 - Bronze Award",12.5,75.0,217,2018
The Astronomer Shiraz 2018 De Bortoli,Australia,Red,Big ,Shiraz,FULL,"De Bortoli practice high input viticulture with a huge emphasis on site selection and the use of mature vines. This approach has enable them to produce, among many others, the great sweet wine Noble One. The same care is applied to this entry level Shiraz. This wine displays classic notes of blackcurrant, bramble and white pepper. It is extremely full bodied and rich for a wine of this price. Try this with steak,grilled sausages or even a hamburger.",6.99,,13.5,75.0,218,2018
Rioja Gran Reserva 2013 Marqués de Riscal,Spain,Red,Smooth ,Rioja,FULL,"Made from grapes of over 30-years-old in the heart of the Rioja Alta region. Only produced in outstanding vintages, and selected from the best grapes, the wine is aged for between 30 and 36 months in American oak, with a further 36 months' bottle ageing prior to release. Complex aromas of fresh red berries and developed aromas of leather, earth and and fermented tobacco leaf. A rounded, warming palate of subtle fruits, oak and spice with gentle tannins and a long finish. Drinking very well at the moment but will develop beautifully with a couple of years ageing. Enjoy with lamb, venison and pork.",32.0,,15.0,75.0,219,2013
Valle Antigua Chardonnay 2018,Chile,White,Crisp ,Chardonnay,DRY,The Colchagua Valley is a paradise for growing grapes with a Mediterranean climate and a large difference between daytime and night time temperatures allows the grapes to ripen slowly developing intense flavours and aromas. This fine Chardonnay has fresh flavours of ripe apple and citrus enhanced by notes of vanilla from ageing in French oak. Try this with chicken or meaty fish dishes flavoured with wine.,7.99,,13.0,75.0,221,2018
Parcel Series Marlborough Sauvignon Blanc 2018,New Zealand,White,Fruity ,Sauvignon Blanc,DRY,"Another of our Parcel Series wines that really outguns its price tag. This wine from an internationally acclaimed winery bursts with bright fruit flavours of gooseberry, passion fruit and citrus.",9.99,,13.0,75.0,222,2018
Charmes de Kirwan 2014,France,Red,Big ,"Cabernet Sauvignon, Merlot, Cabernet Franc",MEDIUM,,34.99,,13.5,75.0,224,2014
Viñalba Malbec-Touriga Nacional Reserve 2017 Mendoza,Argentina,Red,Big ,Malbec,FULL,"It takes a cream-of-the-crop Malbec blend to win two gold medals in one year. The 2017 vintage of this did exactly that. Its secret? A generous splash of Touriga Nacional, the grape more commonly known for boosting the palate-coating power of Port. In this, it adds a colossal burst of red-fruit flavour. It's delicious.",12.99,"IWC 2019 - Silver Award, Decanter 2019 - Bronze Award, IWC 2017 - Gold Award, Decanter 2017 - Gold Award",14.5,75.0,225,2017
Rioja Reserva Selección Especial 2014 Muga,Spain,Red,Smooth ,Rioja,FULL,"Founded by Isaac Muga Martínez and his wife, Auro Caño in 1932, in Haro, at the western end of Rioja Alta. The best grapes are selected for the Especial blend, and aged for 6 months in large vats, before 30 months in small oak barrels, and a further year in bottle. Intense, concentrated and powerful aromas of black fruit, red berries, spice and hints of wild flowers complement an intense and very powerful, fruit driven palate with layers of flavour and exotic spice. An harmonious wine that will age gracefully for ten years but can be enjoyed now. Drink with game or duck.",25.99,,14.0,75.0,226,2014
"Rully Rouge ""En Rosey"" 2016 Maison Chanzy",France,Red,Fruity ,Pinot Noir,LIGHT,"Maison Chanzy own top quality vineyard sites all over Burgundy including Grand Crus. Rully is a lesser known village in the Côte Chalonnaise that produces Pinot Noir that can rival the quality, if not the price tag, of its more famous rivals to the north. This wine is stuffed full of bright red fruit flavours, think cherries and redcurrants, with a fine firm tannic structure and balancing acidity that makes it a great foil for all manner of food. This will be an excellent match for roasted poultry or game birds.",17.99,,13.0,75.0,227,2016
Côtes du Rhône Belleruche 2018 M.Chapoutier,France,Red,Smooth ,"Syrah, Grenache",MEDIUM,"The Chapoutier family have produced wines in the Rhône Valley since 1808. Michel Chapoutier, currently in charge, has combined tradition with a dynamic, creative approach and makes some of the best wines of the region. A superb wine with rich aromas of dark fruit, earthy minerals and spice. Soft and round on the palate with smooth tannins, rich blackberry and cherry fruit, hints of liquorice and a substantial finish. This wine can be enjoyed over the next several years and will superbly partner most rich meat dishes.",11.99,,14.5,75.0,230,2018
Domaine du Vaux St Georges Touraine Sauvignon 2018,France,White,Fruity ,Sauvignon Blanc,DRY,"Domaine du Vaux St Georges offers a fantastic terroir of flinty sands, close to the Cher river. The influence of which, gives fantastic crispness to their grapes, creating some of the best that Touraine has to offer. A pale yellow juice boasts aromas of citrus, elderflower and a note of cedar. True to its exquisite background, the finish is long and balanced. A true summer's refresher Fantastic as an aperitif, or enjoy with a wide variety of fish.",11.99,,12.5,75.0,232,2018
Saint Clair Pioneer Block Sauvignon Blanc 2016 Marlborough,New Zealand,White,Fruity ,Sauvignon Blanc,DRY,"The reason behind the 'block'? It's sourced from a single vineyard. A unique expression of the land, it's only made in the finest vintages. Such practices would demand at least twice this price tag in France. Bursting with expertly crafted layers of gooseberry, passion fruit and freshly cut grass, this is a new world of Kiwi Sauvignon.",19.99,,12.0,75.0,233,2016
Saint Clair Pioneer Block Chardonnay 2017 Marlborough,New Zealand,White,Rich ,Chardonnay,DRY,"St. Clair have gone for maximum impact and expression with this Chardonnay, fermenting 100% of the grapes in a mixture of new and old French oak, before ageing the wine on for 9 months, with regular stirring to draw full character from the lees. The New Zealand trademarks of fresh and snappy peach and tropical fruits are finished with a wonderfully soft, generous texture and a biscuity edge. Rich, with plentiful amounts of pure, tropical fruit, this wine is fantastic with grilled asparagus or fish with parsley sauce.",19.99,,13.0,75.0,234,2017
Acacia Road Chenin Blanc 2018,,White,Fruity ,"Chenin Blanc, Chenin Blanc",DRY,Chenin Blanc has found a home in South Africa and this example shows exactly why with bright flavours of tropical fruit and apple followed by a honeyed yet refreshing finish.,7.99,,12.5,75.0,235,2018
Ségla 2012 Margaux,France,Red,Big ,"Cabernet Sauvignon, Merlot",FULL,"Ségla is the second wine of the famous Margaux second growth Château Rauzan-Ségla. More accessible than the first wine, this is does not receive as much new oak, so tannins are riper and smoother making the Ségla ripe and ready for drinking. It is a wine with excellent concentration and poise. Showing fragrant notes of ripe fruits, violets and cedar with beautiful length and delicate tannins. With great structure and balance and a long finish A great example of good value Margaux drinking well now, this wine will also soften further and improve over the next 7-8 years",34.99,,13.5,75.0,236,2012
"Roaring Meg Pinot Noir 2017 Mt Difficulty, Central Otago",New Zealand,Red,Fruity ,Pinot Noir,MEDIUM,"Mount Difficulty is a boutique winery located in Bannockburn in Central Otago. The Bannockburn area is internationally recognized as one of the few places in the world where the petulant Pinot Noir variety has found a home outside Burgundy. This wine exhibits a lovely mix of red and black berry fruits with further complexity gained from oak spice. These characters are balanced by soft tannins, balanced acidity and a fruit-driven finish. This is a cracking, complex wine to be enjoyed over the next five years. Enjoy with pork loin and peach chutney or rabbit casserole.",20.99,IWC 2018 - Commended Award,14.0,75.0,237,2017
Oyster Bay Merlot 2017 Hawke's Bay,New Zealand,Red,Big ,Merlot,MEDIUM,"Oyster Bay has been producing wine of international acclaim since winning the 'Best International Sauvignon' at the 1991 IWSC. A leading example of the 'New Zealand Style', fashioned from fruit grown in Hawkes Bay's Bordeaux-esque climate. Plumy, jammy and ripe berry fruits augmented by hints of spice, toasted oak and chocolate aromas are followed by a rich, rounded and fruity palate with subtle oak and spices and an intense finish. Enjoy over the next three years with everything from pizza to spaghetti bolognese and from roast turkey to pork chops.",10.49,"IWC 2017 - Silver Award, Decanter 2017 - Silver Award",13.5,75.0,238,2017
Domaine Begude 'Le Paradis' Viognier 2017 Haute Vallée de L'Aude,France,White,Rich ,Viognier,DRY,"Domaine Begude is a 25-hectare family-owned estate set high in the foothills of the Pyrenees. Believing in a healthy, sustainable environment through organic farming has led to consistent wines of the highest quality. Delicate and aromatic this Viognier has fine flavours of peach and apricot with a slight touch of spice balanced by a refreshing acidity. This is perfect with grilled oily fish.",17.99,,13.5,75.0,241,2017
Ten Minutes by Tractor Estate Pinot Noir 2017 Mornington Peninsular,Australia,Red,Fruity ,Pinot Noir,MEDIUM,"Mornington Peninsular is a sub-region of Victoria which, in recent years, has been identified as arguably the best area in Australia for cultivating the classic Burgundian varieties. Made in small open-topped fermenters with wild yeasts and matured for 11-15 months in French oak, this is an elegant and polished Australian Pinot.",46.0,,14.0,75.0,244,2017
Gran Camino Tempranillo,,Red,Smooth ,Tempranillo,LIGHT,Made exclusively for Majestic from 100% Tempranillo this is a medium bodied and soft wine that is packed with juicy red fruit flavours,5.99,,13.0,75.0,245,Unknown
Vasse Felix Filius Chardonnay 2017 Margaret River,Australia,White,Rich ,Chardonnay,DRY,"Located in Margaret River, in the South Western corner of Australia, Vasse Felix have a state-of-the-art winery where this Chardonnay is produced using premium parcels of fruit and partial wild yeast fermentation in French oak barriques. A toasty, nutty nose, with peach and tropical fruits on the palate, complemented by nutty hints and a touch of vanilla toast, a full flavoured wine, yet reserved and well integrated. A fabulous choice for white-meat dishes.",14.99,IWC 2017 - Silver Award,12.5,75.0,246,2017
